Symbol,Date,Close
XOM,3/27/2015,83.58
XOM,3/30/2015,85.63
XOM,3/31/2015,85
XOM,4/1/2015,84.46
XOM,4/2/2015,84.3
XOM,4/6/2015,85.13
XOM,4/7/2015,85.75
XOM,4/8/2015,84.06
XOM,4/9/2015,84.65
XOM,4/10/2015,85.56
XOM,4/13/2015,85.34
XOM,4/14/2015,86.63
XOM,4/15/2015,88.08
XOM,4/16/2015,87.73
XOM,4/17/2015,86.93
XOM,4/20/2015,87.24
XOM,4/21/2015,86.88
XOM,4/22/2015,87.46
XOM,4/23/2015,87.54
XOM,4/24/2015,86.97
XOM,4/27/2015,87.01
XOM,4/28/2015,87.8
XOM,4/29/2015,87.87
XOM,4/30/2015,87.37
XOM,5/1/2015,88.85
XOM,5/4/2015,89.11
XOM,5/5/2015,88.61
XOM,5/6/2015,88.19
XOM,5/7/2015,87.6
XOM,5/8/2015,88.99
XOM,5/11/2015,86.78
XOM,5/12/2015,87.02
XOM,5/13/2015,86.56
XOM,5/14/2015,86.97
XOM,5/15/2015,87.35
XOM,5/18/2015,86.85
XOM,5/19/2015,86.99
XOM,5/20/2015,87.13
XOM,5/21/2015,87.21
XOM,5/22/2015,86.52
XOM,5/26/2015,85.35
XOM,5/27/2015,85.11
XOM,5/28/2015,85.11
XOM,5/29/2015,85.2
XOM,6/1/2015,85.13
XOM,6/2/2015,85.14
XOM,6/3/2015,84.95
XOM,6/4/2015,84.22
XOM,6/5/2015,84.28
XOM,6/8/2015,84.85
XOM,6/9/2015,84.58
XOM,6/10/2015,85.21
XOM,6/11/2015,85.09
XOM,6/12/2015,84.02
XOM,6/15/2015,83.72
XOM,6/16/2015,84.68
XOM,6/17/2015,84.73
XOM,6/18/2015,85.48
XOM,6/19/2015,85.21
XOM,6/22/2015,85.17
XOM,6/23/2015,85.07
XOM,6/24/2015,84.68
XOM,6/25/2015,83.93
XOM,6/26/2015,83.86
XOM,6/29/2015,82.82
XOM,6/30/2015,83.2
XOM,7/1/2015,82.37
XOM,7/2/2015,83.14
XOM,7/6/2015,82.53
XOM,7/7/2015,82.87
XOM,7/8/2015,81.97
XOM,7/9/2015,81.6
XOM,7/10/2015,82.22
XOM,7/13/2015,82.42
XOM,7/14/2015,83.11
XOM,7/15/2015,82.76
XOM,7/16/2015,82.91
XOM,7/17/2015,82.61
XOM,7/20/2015,81.76
XOM,7/21/2015,81.66
XOM,7/22/2015,81.79
XOM,7/23/2015,81.14
XOM,7/24/2015,79.94
XOM,7/27/2015,79.26
XOM,7/28/2015,82.48
XOM,7/29/2015,83.14
XOM,7/30/2015,83.01
XOM,7/31/2015,79.21
XOM,8/3/2015,78.06
XOM,8/4/2015,77.17
XOM,8/5/2015,77.17
XOM,8/6/2015,78.09
XOM,8/7/2015,76.83
XOM,8/10/2015,78.75
XOM,8/11/2015,77.49
XOM,8/12/2015,78.79
XOM,8/13/2015,78.65
XOM,8/14/2015,78.36
XOM,8/17/2015,78.77
XOM,8/18/2015,77.9
XOM,8/19/2015,76.23
XOM,8/20/2015,74.57
XOM,8/21/2015,72.13
XOM,8/24/2015,68.72
XOM,8/25/2015,68.71
XOM,8/26/2015,72.5
XOM,8/27/2015,74.85
XOM,8/28/2015,75.07
XOM,8/31/2015,75.24
XOM,9/1/2015,72.08
XOM,9/2/2015,73.23
XOM,9/3/2015,73.79
XOM,9/4/2015,72.46
XOM,9/8/2015,73.5
XOM,9/9/2015,72
XOM,9/10/2015,72.52
XOM,9/11/2015,72.69
XOM,9/14/2015,72.49
XOM,9/15/2015,72.86
XOM,9/16/2015,74.3
XOM,9/17/2015,74.46
XOM,9/18/2015,72.68
XOM,9/21/2015,73.39
XOM,9/22/2015,72.74
XOM,9/23/2015,72.3
XOM,9/24/2015,72.73
XOM,9/25/2015,73.23
XOM,9/28/2015,72.6
XOM,9/29/2015,72.97
XOM,9/30/2015,74.35
XOM,10/1/2015,74.06
XOM,10/2/2015,75.88
XOM,10/5/2015,76.81
XOM,10/6/2015,77.89
XOM,10/7/2015,79.2
XOM,10/8/2015,80.03
XOM,10/9/2015,79.26
XOM,10/12/2015,79.3
XOM,10/13/2015,79.16
XOM,10/14/2015,80.16
XOM,10/15/2015,81.48
XOM,10/16/2015,82.48
XOM,10/19/2015,80.99
XOM,10/20/2015,80.83
XOM,10/21/2015,80.21
XOM,10/22/2015,82.89
XOM,10/23/2015,82.98
XOM,10/26/2015,81.22
XOM,10/27/2015,81.09
XOM,10/28/2015,82.28
XOM,10/29/2015,82.23
XOM,10/30/2015,82.74
XOM,11/2/2015,85.28
XOM,11/3/2015,86.85
XOM,11/4/2015,85.98
XOM,11/5/2015,84.81
XOM,11/6/2015,84.47
XOM,11/9/2015,81.95
XOM,11/10/2015,82.35
XOM,11/11/2015,81.62
XOM,11/12/2015,79.41
XOM,11/13/2015,78.1
XOM,11/16/2015,80.9
XOM,11/17/2015,79.96
XOM,11/18/2015,80.74
XOM,11/19/2015,80.3
XOM,11/20/2015,79.79
XOM,11/23/2015,80.28
XOM,11/24/2015,81.88
XOM,11/25/2015,81.25
XOM,11/27/2015,81.23
XOM,11/30/2015,81.66
XOM,12/1/2015,81.89
XOM,12/2/2015,79.55
XOM,12/3/2015,78.41
XOM,12/4/2015,78.86
XOM,12/7/2015,76.8
XOM,12/8/2015,74.63
XOM,12/9/2015,75.63
XOM,12/10/2015,75.69
XOM,12/11/2015,74.34
XOM,12/14/2015,76.03
XOM,12/15/2015,79.43
XOM,12/16/2015,79.15
XOM,12/17/2015,77.96
XOM,12/18/2015,77.28
XOM,12/21/2015,77.26
XOM,12/22/2015,77.65
XOM,12/23/2015,80.19
XOM,12/24/2015,79.33
XOM,12/28/2015,78.74
XOM,12/29/2015,79.16
XOM,12/30/2015,78.11
XOM,12/31/2015,77.95
XOM,1/4/2016,77.46
XOM,1/5/2016,78.12
XOM,1/6/2016,77.47
XOM,1/7/2016,76.23
XOM,1/8/2016,74.69
XOM,1/11/2016,73.69
XOM,1/12/2016,75.2
XOM,1/13/2016,75.65
XOM,1/14/2016,79.12
XOM,1/15/2016,77.58
XOM,1/19/2016,76.4
XOM,1/20/2016,73.18
XOM,1/21/2016,74.1
XOM,1/22/2016,76.57
XOM,1/25/2016,73.98
XOM,1/26/2016,76.7
XOM,1/27/2016,75.29
XOM,1/28/2016,76.99
XOM,1/29/2016,77.85
XOM,2/1/2016,76.29
XOM,2/2/2016,74.59
XOM,2/3/2016,78.48
XOM,2/4/2016,79.83
XOM,2/5/2016,80.08
XOM,2/8/2016,81.16
XOM,2/9/2016,80.08
XOM,2/10/2016,79.35
XOM,2/11/2016,79.6
XOM,2/12/2016,81.03
XOM,2/16/2016,81.22
XOM,2/17/2016,82
XOM,2/18/2016,82.45
XOM,2/19/2016,82.5
XOM,2/22/2016,82.39
XOM,2/23/2016,81.23
XOM,2/24/2016,81.52
XOM,2/25/2016,82.01
XOM,2/26/2016,81.75
XOM,2/29/2016,80.15
XOM,3/1/2016,81.28
XOM,3/2/2016,82.7
XOM,3/3/2016,82.4
XOM,3/4/2016,82.29
XOM,3/7/2016,84.46
XOM,3/8/2016,82.63
XOM,3/9/2016,82.4
XOM,3/10/2016,82.18
XOM,3/11/2016,82.19
XOM,3/14/2016,82.41
XOM,3/15/2016,82.82
XOM,3/16/2016,82.87
XOM,3/17/2016,84.1
XOM,3/18/2016,84.2
XOM,3/21/2016,83.62
XOM,3/22/2016,84.12
XOM,3/23/2016,83.75
XOM,3/24/2016,83.98
XOM,3/28/2016,84.22
XOM,3/29/2016,84.53
XOM,3/30/2016,84.52
XOM,3/31/2016,83.59
XOM,4/1/2016,82.96
XOM,4/4/2016,83.16
XOM,4/5/2016,82.21
XOM,4/6/2016,83.31
XOM,4/7/2016,82.37
XOM,4/8/2016,83.21
XOM,4/11/2016,83.32
XOM,4/12/2016,84.35
XOM,4/13/2016,84.83
XOM,4/14/2016,85.43
XOM,4/15/2016,84.97
XOM,4/18/2016,85.78
XOM,4/19/2016,86.21
XOM,4/20/2016,86.8
XOM,4/21/2016,86.79
XOM,4/22/2016,87.53
XOM,4/25/2016,87.33
XOM,4/26/2016,87.63
XOM,4/27/2016,88.46
XOM,4/28/2016,88.03
XOM,4/29/2016,88.4
XOM,5/2/2016,89.13
XOM,5/3/2016,88.11
XOM,5/4/2016,87.94
XOM,5/5/2016,88.04
XOM,5/6/2016,88.51
XOM,5/9/2016,88.57
XOM,5/10/2016,89.99
XOM,5/11/2016,88.81
XOM,5/12/2016,89.67
XOM,5/13/2016,88.66
XOM,5/16/2016,89.57
XOM,5/17/2016,89.53
XOM,5/18/2016,89.35
XOM,5/19/2016,90.11
XOM,5/20/2016,89.74
XOM,5/23/2016,89.6
XOM,5/24/2016,89.67
XOM,5/25/2016,90.26
XOM,5/26/2016,89.8
XOM,5/27/2016,90.01
XOM,5/31/2016,89.02
XOM,6/1/2016,89.24
XOM,6/2/2016,88.53
XOM,6/3/2016,88.37
XOM,6/6/2016,89.34
XOM,6/7/2016,90.71
XOM,6/8/2016,90.79
XOM,6/9/2016,90.67
XOM,6/10/2016,89.98
